ticker,NAME,description_kor,business,GPT_comment,GPT_update_info
A UN,AGILENT TECHNOLOGIES INC,"Agilent Technologies, Inc.는 통신, 전자, 생명과학 및 화학 분석 산업에 핵심 생물-분석 및 전자 측정 솔루션을 제공합니다. 회사는 전자 및 생물-분석 측정, 반도체 및 기판 테스트를 제공합니다.","['전자 및 생물-분석 측정', '반도체', '기판 테스트']","Agilent Technologies, Inc.는 통신, 전자, 생명과학 및 화학 분석 산업에 핵심 솔루션을 제공하여 기업의 입장에서는 매우 중요한 위치에 있습니다. 그러나 회사는 경쟁적인 시장에서 경쟁해야 하는 동시에 다양한 산업 분야에 대한 솔루션을 제공해야 하는 과제를 가지고 있습니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
AA UN,ALCOA CORP,"알코아 주식회사는 금속 제품을 제조합니다. 회사는 보크사이트, 알루미나 및 알루미늄 제품을 생산 및 판매합니다. 알코아는 전 세계 알루미늄 산업에 공급합니다.","['금속 제조', '보크사이트 생산', '알루미나 생산', '알루미늄 제품 생산 및 판매']","알코아 주식회사는 금속 제조 업체로서, 보크사이트, 알루미나 및 알루미늄 제품을 생산하고 판매하는 세계적인 기업입니다. 이 기업의 장점은 금속 산업에 대한 폭넓은 공급망과 경험이며, 단점은 경쟁이 치열한 산업에서 경영 안정성에 대한 주의가 필요하다는 것입니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
AADI UR,AADI BIOSCIENCE INC,"Aadi Bioscience, Inc는 임상 단계의 생물 의약품 회사로서, 유전자로 정의된 암에 대한 정밀 요법을 개발합니다. Aadi Bioscience는 미국 환자들에게 서비스를 제공합니다.",[],"Aadi Bioscience, Inc는 유전자로 정의된 암에 대한 정밀 요법을 개발하는 임상 단계의 생물 의약품 회사입니다. 이 회사의 장점은 첨단 기술을 통해 개인화된 치료를 제공하려는 노력이며, 한편으로는 경쟁이 치열한 암 치료 시장에서 성공하기 위해 긴 시간과 높은 투자가 필요하다는 점입니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
AAL UW,AMERICAN AIRLINES GROUP INC,"AMERICAN AIRLINES GROUP INC는 항공사로 운영되고 있습니다. 이 회사는 예약된 승객, 화물 및 우편 서비스를 제공합니다. AMERICAN AIRLINES GROUP은 미국과 캐나다의 고객을 대상으로 서비스를 제공합니다.",[],"AMERICAN AIRLINES GROUP INC은 항공 운송 사업에서 주로 활동하며, 미국과 캐나다의 고객을 대상으로 서비스를 제공합니다. 이 회사는 시간표에 맞춰 승객, 화물 및 우편을 운송하는 것을 주요 사업으로 합니다. 장점으로는 광범위한 노선망과 고객 서비스, 양질의 운송 서비스가 있으며, 단점으로는 대체로 경쟁이 치열한 항공 운송 시장에서 경쟁해야 한다는 점이 있습니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
AAN UN,AARON'S CO INC/THE,"에어론스 컴퍼니는 소비자 제품을 소매 및 임대하는 회사입니다. 회사는 가구, 전자제품, 가전제품, 컴퓨터, 피트니스, 도구 및 야외 제품을 제공합니다. 에어론스는 미국과 캐나다의 고객을 대상으로 서비스를 제공합니다.","['가구', '전자제품', '가전제품', '컴퓨터', '피트니스', '도구', '야외 제품']",에어론스 컴퍼니의 장점은 소비자 제품의 다양한 카테고리를 제공하고 미국과 캐나다에 서비스를 제공하는 것입니다. 그러나 경쟁이 치열하고 경제 상황에 따라 수요가 변동할 수 있으므로 경영에 주의가 필요합니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.,powered by gpt-3.5-turbo at 2023-06-30
AAON UW,AAON INC,"AAON, Inc.는 상업용 옥상 에어컨, 난방 및 열회수 장비, 그리고 에어컨 코일을 디자인, 제조 및 판매하는 회사입니다. 이 회사의 제품은 상업 및 산업의 신규 건설 및 교체 시장에 사용됩니다.","['상업용 옥상 에어컨 제품', '난방 제품', '열회수 장비', '에어컨 코일']","AAON, Inc.는 상업용 옥상 에어컨, 난방 및 열회수 장비, 그리고 에어컨 코일을 제조하는 기업으로, 상업 및 산업의 신규 건설 및 교체 시장에 서비스를 제공합니다. 이 회사의 강점은 제품의 다양성과 신뢰성이며, 업계에서 평판이 높습니다. 하지만 경쟁사의 존재로 인해 가격 경쟁력에 영향을 받을 수 있습니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
AAP UN,ADVANCE AUTO PARTS INC,"Advance Auto Parts, Inc.는 자동차 후판 부품 제공 업체입니다. 회사는 자동차 및 교체 부품, 오일과 유체, 배기, 연료 시스템, 엔진과 점화, 냉각과 난방, 도구, 변속기, 주행계통 및 액세서리를 제공합니다. Advance Auto Parts는 미국, 캐나다, 푸에르토리코 및 버진아일랜드의 고객을 서비스합니다.","['자동차 및 교체 부품 제공', '오일과 유체', '배기', '연료 시스템', '엔진과 점화', '냉각과 난방', '도구', '변속기', '주행계통', '액세서리']","Advance Auto Parts, Inc.는 자동차 후판 부품 제공 업체로서 다양한 부품과 서비스를 제공합니다. 이 기업의 장점은 넓은 부품 선택과 믿을 수 있는 품질이며, 고객에게 편리한 구매 경험을 제공합니다. 그러나 경쟁이 치열한 자동차 부품 시장에서는 가격 경쟁력을 유지해야 하는 한계가 있을 수 있습니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
AAPL UW,APPLE INC,"애플은 스마트폰, 개인용 컴퓨터, 태블릿, 웨어러블 및 악세사리를 디자인, 제조 및 판매하며 다양한 관련 액세서리를 판매하는 회사입니다. 회사는 또한 결제, 디지털 콘텐츠, 클라우드 및 광고 서비스를 제공합니다. 애플의 고객은 전 세계적으로 소비자, 중소기업, 교육, 기업 및 정부 시장이 대부분입니다.","['스마트폰', '개인용 컴퓨터', '태블릿', '웨어러블 및 악세사리', '관련 액세서리 판매', '결제 서비스', '디지털 콘텐츠 서비스', '클라우드 서비스', '광고 서비스']","애플은 전 세계적으로 소비자, 중소기업, 교육, 기업 및 정부 시장에서 주로 활동하며 스마트폰, 개인용 컴퓨터, 태블릿, 웨어러블 및 악세사리를 제조하여 다양한 관련 서비스를 제공합니다. 애플의 장점은 세련된 디자인, 고성능 제품, 탁월한 생태계와 사용자 경험을 제공하는 것입니다. 하지만 고가의 제품과 제한된 호환성, 경쟁력 있는 시장에서의 압력은 애플의 단점이 될 수 있습니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
AAT UN,AMERICAN ASSETS TRUST INC,"American Assets Trust, Inc.는 풀 서비스로, 세로로 통합되고 자체 관리되는 부동산 투자 신탁입니다. 이 회사는 소매 및 사무실 부동산을 소유, 운영, 인수 및 개발합니다. American Assets Trust는 캘리포니아 및 하와이 주의 고객을 대상으로 합니다.","['부동산 투자', '부동산 운영', '부동산 인수', '부동산 개발']","AMERICAN ASSETS TRUST INC은 풀 서비스로, 세로로 통합되고 자체 관리되는 부동산 투자 신탁으로 소매 및 사무실 부동산을 소유, 운영, 인수 및 개발합니다. 이 기업은 캘리포니아 및 하와이 주에서 고객을 대상으로 하며, 투자 시 장점은 안정성과 성장성이 있으나, 산업 내 경쟁과 부동산 시장 변동성 등의 단점도 존재합니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
ABBV UN,ABBVIE INC,"AbbVie Inc.은(는) 제약 제품을 연구 및 개발합니다. 이 회사는 면역학, 만성 신장 질환, C형 간염, 여성 건강, 종양학 및 신경과학 등 특수 치료 영역에 대한 제약 약품을 생산합니다. AbbVie는 또한 다중 경화증, 파킨슨병 및 알츠하이머병을 포함한 질병의 치료제도 제공합니다.","['Pharmaceutical research and development', 'Specialty therapeutic areas', 'Immunology drugs', 'Chronic kidney disease drugs', 'Hepatitis C drugs', ""Women's health drugs"", 'Oncology drugs', 'Neuroscience drugs', ""Treatments for multiple sclerosis, parkinson's, and alzheimer's disease""]","AbbVie Inc.은(는) 제약 분야에서 강력한 연구 및 개발 능력을 갖고 있으며 다양한 치료 분야에 대한 약품을 제공합니다. 그러나 경쟁사와의 경쟁이 치열하며, 새로운 제품 출시와 특허 보호 문제에 집중해야 합니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
