ticker,NAME,CIE_DES,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
000080 KS,HITE JINRO CO LTD,"Hite Jinro Co., Ltd. specializes in manufacturing Soju, vodka-like distilled Korean liquor. The Company also produces and sells other alcoholic beverages, such as wine, whiskey, and ginseng liquors as well as non-alcoholic beverages including mineral water and soft drinks. In addition, Jinro also provides information processing and financial services as well as construction services.",Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners
000100 KS,YUHAN CORP,"Yuhan Corporation manufactures and markets various pharmaceutical products on its own and through joint ventures with other global pharmaceutical companies. The Company also produces personal care products, dietary supplements, and veterinary medicines.",Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
000120 KS,CJ LOGISTICS,"CJ Logistics Corporation provides logistics services. The Company provides land transportation, maritime transportation, harbor unloading, cargo storage, international logistics processing, and other services. CJ Logistics also provides internet home shopping services. CJ Logistics serves customers worldwide.",Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
000150 KS,DOOSAN CO LTD,"Doosan Co., Ltd operates as a diversified manufacturing and service company. The Company conducts electronic components production, logistics equipment manufacturing, information technology consulting, and other businesses. Doosan provides services worldwide.",Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
000210 KS,DL HOLDINGS CO LTD,"DL Holdings Co., Ltd. provides civil engineering, architectural, and plant construction services. The Company constructs bridges, highways, tunnels, harbors, and governmental buildings. DL also manufactures petrochemical products , including polyester, benzene, butane, and methyl tertiary butyl ether (MTBE).",Materials,Materials,Chemicals,Commodity Chemicals
000240 KS,HANKOOK & CO,"Hankook & Company Co., Ltd. operates as a holding company. The Company operates batteries manufacturing, leasing, management consulting, tires production, and other businesses. Hankook provides services worldwide.",Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
000270 KS,KIA CORP,"Kia Corporation manufactures, sells, and exports passenger cars, mini-buses, trucks and commercial vehicles. The Company also manufactures auto-parts and tools using hybrid electric and fuel cell technology. Kia markets its products worldwide.",Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
000660 KS,SK HYNIX INC,"SK hynix Inc. provides products and services for the electronic components industries. The Company manufactures semiconductors such as dynamic random access memory (DRAM), NAND flash memory, and static random access memory (SRAM) chips.",Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
000670 KS,YOUNG POONG CORPORATION,"Young Poong Corporation produces and markets non-ferrous metals, such as zinc ingots, sulfate, and cadmium.  The Company also generates income from leasing buildings.",Materials,Materials,Metals & Mining,Diversified Metals & Mining
000720 KS,HYUNDAI ENGINEERING & CONST,"Hyundai Engineering & Construction Co., Ltd., a general construction company, provides civil engineering, architectural, industrial, and electrical engineering services.  The Company constructs roadways, dams, bridges, ports, industrial plants, apartment complexes, and cultural facilities.",Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
000810 KS,SAMSUNG FIRE & MARINE INS,"Samsung Fire & Marine Insurance Co., Ltd. provides insurance services. The Company offers auto, fire, marine, casualty, health, leisure, and retirement products and services. Samsung Fire & Marine Insurance serves customers in South Korea.",Financials,Insurance,Insurance,Property & Casualty Insurance
000880 KS,HANWHA CORPORATION,"Hanwha Corporation imports and exports petrochemicals, machinery, automotives, electronics, and steel.  The Company also produces explosives for the defense and construction industries.  In addition, Hanwha manufactures automotive airbag inflators and telecommunication equipment, such as wireless phones and provides financial services through its subsidiaries.",Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
000990 KS,DB HITEK CO LTD,"DB HiTek Co., Ltd. manufactures and distributes semiconductor products. The Company produces cosf efficient cmos image sensor, lcd driver ic devices, and other related products. DB HiTek markets its products worldwide.",Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
001040 KS,CJ CORP,"CJ Corporation operates as an investment holding company. The Company, through its subsidiaries, manufactures and distributes processed food products. CJ also operates bio business, television home shopping, global K-Pop broadcasting station, logistics business, movie theater, and other businesses.",Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
001120 KS,LX INTERNATIONAL CORP,"LX INTERNATIONAL CORP. is a commodity trading and mining company.  The Company develops and trades coal, oil, gas, non-ferrous metals, palm oil, and renewable energy. LX INTERNATIONAL also trades IT related component/equipment, petrochemical and steel product.",Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
001230 KS,DONGKUK HOLDINGS CO LTD,"Dongkuk Holdings Co.,Ltd. manufactures and distributes steel products.  The Company produces thick plate, reinforcing bar, steel plate, section steel, angle, channel, flat iron, and other related products. Dongkuk Holdings markets its products throughout South Korea.",Materials,Materials,Metals & Mining,Steel
001440 KS,TAIHAN ELECTRIC WIRE CO LTD,"Taihan Electric Wire Co., Ltd. manufactures a wide range of cables and wires, such as power, communications, copper rod, and enameled cables and wires.  The Company also produces stainless steel sheets and aluminum products including coils, sheets, and plates.  In addition, Taihan Electric offers information and communications equipment, such as optical transmission and network systems.",Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
001450 KS,HYUNDAI MARINE & FIRE INS CO,"Hyundai Marine & Fire Insurance Co., Ltd. (HDMF) is a property and casualty insurer.  The Company's products include auto, fire, marine, general liability, leisure, travel, pension, and medical insurances.",Financials,Insurance,Insurance,Property & Casualty Insurance
001680 KS,DAESANG CORPORATION,"Daesang Corporation manufactures food seasonings, fermentations, sweeteners, starches, coffee, fodder, and bulk pharmaceutical ingredients.  The Company also constructs commercial buildings, infrastructures, and environmental facilities.",Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
001740 KS,SK NETWORKS CO LTD,"SK Networks Co., Ltd. operates as a mobile device distributor. The Company markets mobile phones and in circuit tester devices. SK Networks also conducts integrated logistics businesses, energy and chemical, steel and automotive product global trading, car rentals and maintenance, and other businesses.",Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
001800 KS,ORION HOLDINGS CORP,"Orion Holdings Corp. manufactures snacks products. The Company produces and sells candies, gums, chocolates, pies, and other products. Orion Holdings also develops smart systems. Orion Holdings serves customers worldwide.",Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
002380 KS,KCC CORP,"KCC Corporation manufactures paint and related product, building materials such as cement corrugated sheet, glass wool mat, and board and pipe cover, PVC window profile, paints, and ceramic fiber for high temperature applications. The Company also produces various glasses such as glass fiber, float glass, patterned glass, safety tempered glass, and long glass fibers.",Materials,Materials,Chemicals,Diversified Chemicals
002790 KS,AMOREPACIFIC GROUP,"AMOREPACIFIC Group is an investment holding company. The Company, through its subsidiaries, produce cosmetics and toiletries.",Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
003090 KS,DAEWOONG CO LTD,"Daewoong Co., Ltd. is a investment holding company which operates biotechnology, marketing system, and healthcare entities.  The Company also invests and develops over-the-counter drugs (OTC).",Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
003230 KS,SAMYANG FOODS CO LTD,"Samyang Foods Co., Ltd. manufactures instant and processed food products, such as noodles, snacks, cooking oil, and feed.  The Company also produces dairy goods including milk, cheese, and ice cream.",Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
003240 KS,TAEKWANG INDUSTRIAL CO LTD,"Taekwang Industrial Co., Ltd. manufactures synthetic yarns, petrochemical products, and textiles.  The Company's products include acrylic yarns, nylons, spandex, carbon fibers, spun yarns, polyester materials, and blankets.  Taekwang also produces electric equipment, such as audio equipment, and cordless telephones.  In addition, The Company operates real estate business.",Materials,Materials,Chemicals,Commodity Chemicals
003410 KS,SSANGYONG C&E CO LTD,"SSANGYONG C&E. Co.,Ltd. produces cement and ready-mixed concrete. The Company also manufactures fine ceramics for industrial uses and ferrite magnets for components used in audio equipment. SSANGYONG C&E also develops housing, plant engineering, environmental resources, and leisure businesses.",Materials,Materials,Construction Materials,Construction Materials
